0,1
-32.0,-29.0
-32.0,-19.0
-32.0,-9.0
-32.0,0.0
-32.0,10.0
-32.0,20.0
-32.0,30.0
-32.0,39.0
-22.0,-29.0
-22.0,-19.0
-22.0,-9.0
-22.0,0.0
-22.0,10.0
-22.0,20.0
-22.0,30.0
-22.0,39.0
-13.0,-29.0
-13.0,-19.0
-13.0,-9.0
-13.0,0.0
-13.0,10.0
-13.0,20.0
-13.0,30.0
-13.0,39.0
-3.0,-29.0
-3.0,-19.0
-3.0,-9.0
-3.0,0.0
-3.0,10.0
-3.0,20.0
-3.0,30.0
-3.0,39.0
6.0,-29.0
6.0,-19.0
6.0,-9.0
6.0,0.0
6.0,10.0
6.0,20.0
6.0,30.0
6.0,39.0
16.0,-29.0
16.0,-19.0
16.0,-9.0
16.0,0.0
16.0,10.0
16.0,20.0
16.0,30.0
16.0,39.0
25.0,-29.0
25.0,-19.0
25.0,-9.0
25.0,0.0
25.0,10.0
25.0,20.0
25.0,30.0
25.0,39.0
34.0,-29.0
34.0,-19.0
34.0,-9.0
34.0,0.0
34.0,10.0
34.0,20.0
34.0,30.0
34.0,39.0
