0,1,2,3,4
1413.5569997867526,1415.219208724917,1413.719218303929,1411.2164268523295,1425.5804426778182
1419.5077864299406,1423.8130972903818,1416.7076701687424,1411.7712186302977,1412.8975136338395
1426.4637563990964,1428.2344876554496,1417.5192466576918,1416.8843289501426,1429.1031433706876
1410.0016791702076,1427.7947147517305,1410.871619233323,1428.8056927919758,1411.499881513789
1413.7576131257351,1416.6245337196383,1413.2026406631483,1427.9266127745063,1429.2886279063614
1421.8667461945465,1423.670409743771,1410.5200456193381,1419.3050614819,1429.4064739647088
1423.1676758172716,1425.539496261266,1416.5295594180839,1428.6535840077377,1413.234229824138
1425.4583378239663,1412.1712505580888,1416.1989726915037,1413.5656846711074,1417.9492137040304
1423.118519065127,1411.2300915984506,1418.705985403251,1424.9791848961488,1423.1036755140613
1417.626549129003,1411.2175846775874,1414.726963221618,1414.1505804794776,1427.6536133076943
1414.5232798112313,1417.4503727363278,1429.7184782924721,1412.1575256744036,1412.9059732505402
1423.307013714274,1417.440053790603,1416.5491912682646,1419.824660192987,1427.716494018474
1418.0009121379217,1424.05373198212,1427.3496486295576,1412.606613176719,1429.0167785236606
1424.950312852637,1415.858946880283,1416.7694168312723,1414.6202592188233,1423.7336452986938
1421.6020434579984,1429.510749704908,1411.5434161329497,1411.693240429747,1414.3657298110782
